MGE_Type	Element_Type	CrossedLineage	CrossedName
ICE	ICEHaeULPAs1-1	Order	Pseudomonadales
ICE	ICEHin299	Order	Pasteurellales
ICE	ICEHin86-28NP	Order	Pasteurellales
ICE	ICEHinB	Order	Pasteurellales
ICE	ICEHpa8f	Order	Pasteurellales
ICE	ICEHptfs3	Class	Epsilonproteobacteria
ICE	ICEHpyP12-1	Class	Epsilonproteobacteria
ICE	ICEKp1	Genus	Klebsiella;Salmonella
ICE	ICEKpn342-1	Genus	Klebsiella
ICE	ICEKpnHS11286-1	Genus	Cronobacter;Enterobacter;Escherichia;Klebsiella;Salmonella;Shigella
ICE	ICEKpnHS11286-2	Genus	Klebsiella
ICE	ICELm1	Phylum	Firmicutes
ICE	ICEPae690	Class	Betaproteobacteria;Gammaproteobacteria
ICE	ICEPaeC3719-1	Order	Pseudomonadales
ICE	ICEPaeLESB58-1	Class	Betaproteobacteria;Gammaproteobacteria
ICE	ICEPaePA14-1	Class	Betaproteobacteria;Gammaproteobacteria
ICE	ICEPaePACS2-1	Order	Pseudomonadales
ICE	ICEPm1	Family	Enterobacteriaceae;Morganellaceae
ICE	ICEPmiCHN1809	Family	Morganellaceae
ICE	ICEPmiUSA1	Order	Enterobacterales;Vibrionales
ICE	ICESGB76	Phylum	Firmicutes
ICE	ICESa2	Phylum	Firmicutes
ICE	ICESag37	Phylum	Firmicutes
ICE	ICESag37741	Phylum	Firmicutes
ICE	ICESauCOL-1	Phylum	Firmicutes
ICE	ICESauED98-1	Phylum	Firmicutes
ICE	ICESauJKD6008-1	Phylum	Firmicutes
ICE	ICESauJKD6008-2	Phylum	Firmicutes
ICE	ICESauMRSA252-1	Phylum	Firmicutes
ICE	ICESauST398-1	Phylum	Firmicutes
ICE	ICESauST398-4	Phylum	Firmicutes
ICE	ICESauT0131-1	Phylum	Firmicutes
ICE	ICESauT0131-2	Phylum	Firmicutes
ICE	ICESauTCH1516-1	Phylum	Firmicutes
ICE	ICESauTW20-1	Phylum	Firmicutes
ICE	ICESauTW20-2	Phylum	Firmicutes
ICE	ICESb2	Species	Salmonella_enterica
ICE	ICESde3396	Phylum	Firmicutes
ICE	ICESdy12394-1	Phylum	Firmicutes
ICE	ICESe2	Phylum	Firmicutes
ICE	ICESe4	Genus	Escherichia
ICE	ICESenTy2-1	Species	Salmonella_enterica
ICE	ICESga43143-1	Phylum	Firmicutes
ICE	ICESorUo5-1	Phylum	Firmicutes;Fusobacteria
ICE	ICESp1108	Phylum	Firmicutes
ICE	ICESp2905	Phylum	Firmicutes
ICE	ICESpa15912-1	Phylum	Firmicutes
ICE	ICESpa43144-1	Phylum	Firmicutes
ICE	ICESpn11928	Phylum	Firmicutes
ICE	ICESpn11930-2	Phylum	Firmicutes
ICE	ICESpn8140	Phylum	Firmicutes
ICE	ICESpn9409	Phylum	Firmicutes
ICE	ICESpnCGSP14-1	Phylum	Firmicutes;Bacillota
ICE	ICESpnD39-1	Phylum	Firmicutes
ICE	ICESpnDCC1738	Phylum	Firmicutes
ICE	ICESpnDCC1902	Phylum	Firmicutes
ICE	ICESpnH034800032	Phylum	Firmicutes
ICE	ICESpnJJA-1	Phylum	Firmicutes
ICE	ICESpnP1031-1	Phylum	Firmicutes
ICE	ICESpnP1031-2	Phylum	Firmicutes
ICE	ICESpnR6-1	Phylum	Firmicutes
ICE	ICESpnTIGR4-1	Phylum	Firmicutes
ICE	ICESpsHKU1003-1	Phylum	Firmicutes;Bacteroidetes
ICE	ICESpy009	Phylum	Firmicutes
ICE	ICESsu32457	Phylum	Firmicutes
ICE	ICESsuLP081102	Phylum	Firmicutes
ICE	ICESsuNC28	Phylum	Firmicutes
ICE	ICESsuZJ20091101-1	Phylum	Firmicutes
ICE	ICESsuZJ20091101-2	Phylum	Firmicutes
ICE	ICESz1	Phylum	Firmicutes
ICE	ICETn43716061	Order	Pseudomonadales
ICE	ICEValE0601	Order	Vibrionales
ICE	ICEVchBan9	Order	Vibrionales
ICE	ICEVchHai2	Order	Vibrionales
ICE	ICEVchInd4	Order	Vibrionales
ICE	ICEVchMex1	Order	Vibrionales
ICE	ICEVchNig1	Order	Vibrionales
ICE	ICEVpaCan1	Order	Enterobacterales;Vibrionales
ICE	ICE_2603_tRNALys	Phylum	Firmicutes
ICE	ICE_Sag2603_rplL	Phylum	Firmicutes
ICE	ICE_SagNEM316_rplL	Phylum	Firmicutes
ICE	ICE_SsaF4-2_fda	Phylum	Firmicutes
ICE	ICE_SsaF6-1_rpsI	Phylum	Firmicutes
ICE	ICE_SsaL22_fda	Phylum	Firmicutes
ICE	ICE_SsaL64_fda	Phylum	Firmicutes
ICE	ICE_SsaN20_rpsI	Phylum	Firmicutes
ICE	ICE_SsaT93_fda	Phylum	Firmicutes
ICE	ICEhinR2866	Order	Pasteurellales
ICE	ICEhptfs4a	Class	Epsilonproteobacteria
ICE	ICEhptfs4b	Class	Epsilonproteobacteria
ICE	ICEhptfs4c	Class	Epsilonproteobacteria
ICE	PAGI-2	Class	Betaproteobacteria;Gammaproteobacteria
ICE	PAGI-5	Order	Pseudomonadales
ICE	PAPI-1	Order	Pseudomonadales
ICE	SPI-7RKS4594	Species	Salmonella_enterica
ICE	Sp23F_PPI-1	Phylum	Firmicutes
ICE	Tn1207.3	Phylum	Firmicutes
ICE	Tn1549	Phylum	Firmicutes
ICE	Tn1806	Phylum	Firmicutes
ICE	Tn2008	Order	Moraxellales;Enterobacterales
ICE	Tn4371	Class	Betaproteobacteria;Gammaproteobacteria
ICE	Tn5251	Phylum	Firmicutes;Bacteroidetes
ICE	Tn5386	Phylum	Firmicutes
ICE	Tn5397	Phylum	Firmicutes
ICE	Tn5801(B6)	Phylum	Firmicutes
ICE	Tn6000	Phylum	Firmicutes
ICE	Tn6002	Phylum	Firmicutes
ICE	Tn6003	Phylum	Firmicutes
ICE	Tn6009	Phylum	Firmicutes;Bacteroidetes;Proteobacteria;Fusobacteria;Actinobacteria;Bacillota
ICE	Tn6012	Phylum	Firmicutes
ICE	Tn6073	Phylum	Firmicutes
ICE	Tn6083	Species	Salmonella_enterica
ICE	Tn6084	Phylum	Firmicutes
ICE	Tn6085a	Phylum	Firmicutes
ICE	Tn6085b	Phylum	Firmicutes
ICE	Tn6086	Phylum	Firmicutes
ICE	Tn6107	Phylum	Firmicutes
ICE	Tn6161	Phylum	Bacteroidetes
ICE	Tn6190	Phylum	Firmicutes
ICE	Tn6192	Phylum	Firmicutes
ICE	Tn6194	Phylum	Firmicutes
ICE	Tn6198	Phylum	Firmicutes
ICE	Tn6202	Phylum	Firmicutes
ICE	Tn6224	Phylum	Firmicutes
ICE	Tn6247	Phylum	Firmicutes
ICE	Tn6248	Phylum	Firmicutes
ICE	Tn6253	Phylum	Firmicutes
ICE	Tn6263	Phylum	Firmicutes
ICE	Tn916	Phylum	Firmicutes
ICE	Tn916(RST11)	Phylum	Firmicutes
ICE	Tn925	Phylum	Firmicutes
ICE	TnGBS1	Phylum	Firmicutes
ICE	TnGBS2.3	Phylum	Firmicutes
ICE	TnGBS2.4	Phylum	Firmicutes
ICE	TnGBS2.5	Phylum	Firmicutes
ICE	TnGBS2.6	Phylum	Firmicutes
ICE	TnGBS2_island_X	Phylum	Firmicutes
ICE	TnSang2.1	Phylum	Firmicutes
ICE	TnSgallo2.3	Phylum	Firmicutes
ICE	Trb-1	Order	Legionellales
ICE	Trb-2	Order	Legionellales
ICE	YAPI(IP31758)	Family	Yersiniaceae
ICE	YAPI(ye)	Family	Yersiniaceae
ICE	pKLC102	Order	Pseudomonadales
ICE	pNEM316-1_island_VIII	Phylum	Firmicutes
IS	IS-LL6	Phylum	Firmicutes
IS	IS100	Class	Gammaproteobacteria;Betaproteobacteria
IS	IS1001	Class	Betaproteobacteria
IS	IS1002	Phylum	Proteobacteria;Actinobacteria
IS	IS1004	Order	Aeromonadales;Enterobacterales;Vibrionales
IS	IS1006	Phylum	Proteobacteria;Firmicutes
IS	IS1007	Order	Moraxellales;Enterobacterales
IS	IS1008	Order	Moraxellales
IS	IS102	Phylum	Proteobacteria;Firmicutes
IS	IS1062	Phylum	Firmicutes;Proteobacteria
IS	IS1068	Phylum	Proteobacteria;Firmicutes
IS	IS1069	Phylum	Firmicutes
IS	IS1070	Phylum	Firmicutes
IS	IS1071	Phylum	Proteobacteria;Actinobacteria
IS	IS1081	Phylum	Proteobacteria;Actinobacteria
IS	IS1096	Phylum	Actinobacteria;Proteobacteria
IS	IS1106	Class	Betaproteobacteria
IS	IS1110	Phylum	Actinobacteria
IS	IS1112	Order	Moraxellales
IS	IS1113	Order	Moraxellales
IS	IS1132	Phylum	Actinobacteria
IS	IS1133	Order	Moraxellales;Enterobacterales;Pseudomonadales
IS	IS1137	Phylum	Actinobacteria
IS	IS1165	Phylum	Firmicutes
IS	IS150	Genus	Escherichia;Klebsiella;Shigella
IS	IS153	Phylum	Firmicutes
IS	IS16	Phylum	Proteobacteria;Firmicutes
IS	IS17	Order	Moraxellales
IS	IS18	Phylum	Proteobacteria;Actinobacteria
IS	IS19	Phylum	Firmicutes
IS	IS195	Phylum	Proteobacteria;Bacteroidetes;Bacteroidota
IS	IS199	Phylum	Firmicutes
IS	IS1Sa	Phylum	Firmicutes
IS	IS2	Phylum	Proteobacteria;Bacteroidetes;Firmicutes;Actinobacteria
IS	IS200	Phylum	Proteobacteria;Firmicutes
IS	IS21	Order	Enterobacterales;Pseudomonadales
IS	IS222	Order	Enterobacterales;Pseudomonadales
IS	IS232	Phylum	Firmicutes;Proteobacteria
IS	IS256	Phylum	Proteobacteria;Firmicutes;Actinobacteria;Tenericutes
IS	IS26	Phylum	Proteobacteria;Firmicutes;Actinobacteria
IS	IS285	Family	Yersiniaceae
IS	IS3	Phylum	Proteobacteria;Firmicutes
IS	IS30	Phylum	Proteobacteria;Firmicutes
IS	IS3411	Phylum	Proteobacteria;Firmicutes
IS	IS4	Phylum	Proteobacteria;Bacteroidetes;Firmicutes
IS	IS406	Order	Pseudomonadales
IS	IS407	Phylum	Proteobacteria;Firmicutes
IS	IS421	Phylum	Proteobacteria;Firmicutes;Bacteroidota
IS	IS426	Class	Alphaproteobacteria;Gammaproteobacteria
IS	IS4351	Phylum	Bacteroidetes;Proteobacteria;Firmicutes
IS	IS481	Phylum	Firmicutes;Proteobacteria;Actinobacteria
IS	IS4Sa	Phylum	Firmicutes
IS	IS4Sa2	Phylum	Firmicutes
IS	IS5	Phylum	Proteobacteria;Firmicutes
IS	IS5075	Phylum	Proteobacteria;Actinobacteria;Firmicutes
IS	IS52	Order	Pseudomonadales
IS	IS5376	Phylum	Firmicutes
IS	IS5377	Phylum	Firmicutes
IS	IS5Sa	Phylum	Firmicutes
IS	IS5Sa2	Phylum	Firmicutes
IS	IS600	Phylum	Proteobacteria;Actinobacteria
IS	IS605	Class	Epsilonproteobacteria
IS	IS606	Class	Epsilonproteobacteria
IS	IS607	Class	Epsilonproteobacteria
IS	IS609	Phylum	Proteobacteria;Firmicutes
IS	IS6100	Phylum	Proteobacteria;Firmicutes;Actinobacteria;Bacteroidetes
IS	IS6110	Phylum	Actinobacteria
IS	IS612	Phylum	Bacteroidetes;Proteobacteria
IS	IS6120	Phylum	Actinobacteria
IS	IS613	Phylum	Bacteroidetes;Proteobacteria;Firmicutes
IS	IS614	Phylum	Bacteroidetes;Proteobacteria;Firmicutes
IS	IS615	Phylum	Bacteroidetes;Firmicutes
IS	IS616	Phylum	Bacteroidetes
IS	IS621	Genus	Escherichia;Klebsiella;Salmonella;Shigella
IS	IS629	Phylum	Bacteroidetes;Proteobacteria;Firmicutes
IS	IS630	Class	Epsilonproteobacteria;Gammaproteobacteria
IS	IS640	Class	Betaproteobacteria;Epsilonproteobacteria;Gammaproteobacteria
IS	IS66	Class	Alphaproteobacteria
IS	IS666	Phylum	Actinobacteria
IS	IS679	Phylum	Proteobacteria;Firmicutes
IS	IS682	Genus	Escherichia;Klebsiella;Salmonella;Shigella
IS	IS711	Class	Alphaproteobacteria
IS	IS712	Phylum	Proteobacteria;Firmicutes
IS	IS861	Phylum	Firmicutes
IS	IS900	Phylum	Proteobacteria;Actinobacteria
IS	IS903	Phylum	Proteobacteria;Firmicutes
IS	IS905	Phylum	Proteobacteria;Firmicutes;Actinobacteria
IS	IS911	Family	Enterobacteriaceae;Erwiniaceae
IS	IS931	Class	Betaproteobacteria
IS	IS942	Phylum	Proteobacteria;Bacteroidetes
IS	IS943	Phylum	Bacteroidetes;Proteobacteria
IS	IS981	Phylum	Proteobacteria;Firmicutes;Actinobacteria
IS	IS982	Phylum	Proteobacteria;Firmicutes
IS	IS986	Phylum	Actinobacteria;Proteobacteria;Firmicutes
IS	IS987	Phylum	Firmicutes;Proteobacteria;Actinobacteria
IS	IS994	Order	Vibrionales
IS	IS999	Phylum	Actinobacteria
IS	ISAac1	Order	Pasteurellales
IS	ISAac2	Order	Pasteurellales
IS	ISAac3	Order	Pasteurellales
IS	ISAar43	Phylum	Actinobacteria
IS	ISAav1	Class	Betaproteobacteria;Gammaproteobacteria
IS	ISAav2	Class	Gammaproteobacteria;Betaproteobacteria
IS	ISAav4	Class	Betaproteobacteria
IS	ISAba1	Phylum	Proteobacteria;Firmicutes;Actinobacteria
IS	ISAba10	Order	Moraxellales;Enterobacterales;Xanthomonadales
IS	ISAba11	Phylum	Proteobacteria;Actinobacteria;Firmicutes
IS	ISAba12	Phylum	Proteobacteria;Firmicutes
IS	ISAba125	Phylum	Proteobacteria;Firmicutes
IS	ISAba13	Order	Moraxellales;Enterobacterales
IS	ISAba14	Phylum	Proteobacteria;Firmicutes
IS	ISAba15	Order	Moraxellales;Enterobacterales
IS	ISAba16	Order	Moraxellales;Enterobacterales
IS	ISAba17	Class	Gammaproteobacteria;Betaproteobacteria
IS	ISAba18	Order	Moraxellales
IS	ISAba19	Order	Moraxellales
IS	ISAba2	Phylum	Proteobacteria;Firmicutes
IS	ISAba20	Order	Moraxellales;Enterobacterales
IS	ISAba21	Phylum	Proteobacteria;Firmicutes
IS	ISAba22	Order	Moraxellales;Enterobacterales
IS	ISAba23	Phylum	Proteobacteria;Firmicutes
IS	ISAba24	Order	Moraxellales;Enterobacterales;Alteromonadales;Vibrionales
IS	ISAba25	Phylum	Proteobacteria;Firmicutes
IS	ISAba26	Phylum	Proteobacteria;Firmicutes;Tenericutes
IS	ISAba27	Phylum	Proteobacteria;Firmicutes
IS	ISAba28	Order	Moraxellales;Enterobacterales;Vibrionales
IS	ISAba29	Order	Moraxellales
IS	ISAba3	Order	Moraxellales;Enterobacterales
IS	ISAba31	Phylum	Proteobacteria;Firmicutes
IS	ISAba32	Order	Moraxellales;Enterobacterales
IS	ISAba33	Phylum	Proteobacteria;Firmicutes
IS	ISAba34	Phylum	Proteobacteria;Firmicutes
IS	ISAba36	Order	Moraxellales;Enterobacterales
IS	ISAba37	Order	Moraxellales
IS	ISAba4	Order	Moraxellales
IS	ISAba40	Order	Moraxellales
IS	ISAba42	Order	Moraxellales;Enterobacterales;Vibrionales
IS	ISAba43	Order	Moraxellales;Enterobacterales
IS	ISAba44	Order	Moraxellales;Enterobacterales
IS	ISAba45	Order	Moraxellales
IS	ISAba47	Order	Moraxellales
IS	ISAba48	Order	Moraxellales
IS	ISAba49	Phylum	Proteobacteria;Firmicutes
IS	ISAba5	Order	Moraxellales
IS	ISAba50	Order	Moraxellales
IS	ISAba52	Order	Moraxellales
IS	ISAba53	Order	Moraxellales
IS	ISAba57	Order	Moraxellales
IS	ISAba58	Order	Moraxellales
IS	ISAba59	Phylum	Proteobacteria;Firmicutes;Tenericutes
IS	ISAba60	Order	Moraxellales
IS	ISAba61	Order	Moraxellales;Pseudomonadales
IS	ISAba62	Order	Moraxellales
IS	ISAba63	Phylum	Proteobacteria;Firmicutes
IS	ISAba64	Order	Moraxellales
IS	ISAba66	Order	Moraxellales
IS	ISAba68	Order	Moraxellales
IS	ISAba7	Order	Moraxellales
IS	ISAba8	Phylum	Proteobacteria;Firmicutes
IS	ISAba825	Order	Moraxellales
IS	ISAba9	Order	Moraxellales;Enterobacterales
IS	ISAbe10	Order	Moraxellales
IS	ISAbe12	Order	Moraxellales
IS	ISAbe13	Order	Moraxellales
IS	ISAbe14	Order	Moraxellales
IS	ISAbe15	Order	Moraxellales
IS	ISAbe16	Order	Moraxellales
IS	ISAbe17	Order	Moraxellales
IS	ISAbe18	Class	Gammaproteobacteria;Epsilonproteobacteria;Betaproteobacteria
IS	ISAbe5	Order	Moraxellales
IS	ISAbe6	Order	Moraxellales
IS	ISAbe8	Order	Moraxellales
IS	ISAbe9	Order	Moraxellales
IS	ISAca1	Order	Moraxellales
IS	ISAch1	Order	Pseudomonadales
IS	ISAchd1	Class	Betaproteobacteria;Gammaproteobacteria
IS	ISAcpa1	Order	Moraxellales
IS	ISAcra1	Order	Moraxellales
IS	ISAcsp1	Order	Moraxellales
IS	ISAcsp12	Order	Moraxellales
IS	ISAcsp13	Order	Moraxellales
IS	ISAcsp2	Phylum	Proteobacteria;Firmicutes
IS	ISAcsp3	Order	Moraxellales;Enterobacterales
IS	ISAcsp5	Phylum	Proteobacteria;Firmicutes
IS	ISAcsp8	Order	Moraxellales
IS	ISActu1	Phylum	Actinobacteria
IS	ISAcur1	Order	Moraxellales
IS	ISAdh1	Order	Aeromonadales;Enterobacterales
IS	ISAdh2	Order	Aeromonadales
IS	ISAdh3	Order	Aeromonadales
IS	ISAeca1	Order	Aeromonadales;Enterobacterales;Pasteurellales;Pseudomonadales;Vibrionales
IS	ISAeca4	Order	Aeromonadales
IS	ISAeca5	Order	Aeromonadales;Enterobacterales
IS	ISAeca6	Order	Aeromonadales;Enterobacterales
IS	ISAeca7	Order	Aeromonadales
IS	ISAeme1	Order	Aeromonadales;Enterobacterales
IS	ISAeme10	Order	Aeromonadales
IS	ISAeme11	Order	Aeromonadales
IS	ISAeme12	Order	Aeromonadales
IS	ISAeme13	Order	Aeromonadales
IS	ISAeme14	Order	Aeromonadales
IS	ISAeme15	Order	Aeromonadales;Enterobacterales
IS	ISAeme16	Order	Aeromonadales;Enterobacterales;Vibrionales
IS	ISAeme17	Order	Aeromonadales;Enterobacterales
IS	ISAeme18	Order	Aeromonadales
IS	ISAeme19	Class	Gammaproteobacteria;Epsilonproteobacteria
IS	ISAeme2	Order	Aeromonadales;Enterobacterales;Vibrionales
IS	ISAeme20	Order	Aeromonadales
IS	ISAeme21	Order	Aeromonadales
IS	ISAeme22	Phylum	Proteobacteria;Firmicutes
IS	ISAeme23	Order	Aeromonadales;Enterobacterales
IS	ISAeme24	Order	Aeromonadales
IS	ISAeme25	Order	Aeromonadales;Enterobacterales
IS	ISAeme3	Order	Aeromonadales;Enterobacterales
IS	ISAeme4	Order	Aeromonadales;Enterobacterales;Vibrionales
IS	ISAeme5	Order	Aeromonadales;Enterobacterales;Vibrionales
IS	ISAeme6	Order	Aeromonadales
IS	ISAeme7	Order	Aeromonadales;Vibrionales
IS	ISAeme8	Order	Aeromonadales
IS	ISAeme9	Order	Aeromonadales
IS	ISAfl1	Phylum	Firmicutes
IS	ISAha1	Phylum	Proteobacteria;Firmicutes
IS	ISAha2	Order	Moraxellales
IS	ISAha3	Order	Moraxellales;Enterobacterales
IS	ISAhy1	Order	Aeromonadales
IS	ISAhy2	Order	Aeromonadales;Enterobacterales
IS	ISAhy3	Order	Aeromonadales
IS	ISAisp1	Phylum	Proteobacteria;Actinobacteria
IS	ISAisp5	Order	Aeromonadales;Enterobacterales
IS	ISAjo1	Order	Moraxellales
IS	ISAjo2	Class	Gammaproteobacteria;Epsilonproteobacteria
IS	ISAjo3	Phylum	Proteobacteria;Firmicutes
IS	ISAjo4	Phylum	Proteobacteria;Firmicutes
IS	ISAjo6	Order	Moraxellales
IS	ISAju1	Order	Moraxellales
IS	ISAlde1	Class	Betaproteobacteria;Gammaproteobacteria
IS	ISAlg	Class	Betaproteobacteria;Gammaproteobacteria
IS	ISAlsp1	Order	Pseudomonadales
IS	ISAlw1	Order	Moraxellales
IS	ISAlw10	Order	Moraxellales;Enterobacterales
IS	ISAlw11	Class	Gammaproteobacteria;Epsilonproteobacteria;Betaproteobacteria
IS	ISAlw13	Class	Gammaproteobacteria;Betaproteobacteria
IS	ISAlw14	Phylum	Proteobacteria;Actinobacteria
IS	ISAlw15	Phylum	Proteobacteria;Actinobacteria
IS	ISAlw16	Order	Moraxellales
IS	ISAlw17	Order	Moraxellales
IS	ISAlw2	Class	Gammaproteobacteria;Epsilonproteobacteria;Betaproteobacteria
IS	ISAlw20	Class	Gammaproteobacteria;Epsilonproteobacteria;Betaproteobacteria
IS	ISAlw21	Order	Moraxellales
IS	ISAlw22	Order	Moraxellales;Enterobacterales
IS	ISAlw23	Order	Moraxellales;Enterobacterales
IS	ISAlw24	Order	Moraxellales;Enterobacterales
IS	ISAlw25	Phylum	Proteobacteria;Firmicutes
IS	ISAlw26	Phylum	Proteobacteria;Firmicutes
IS	ISAlw27	Phylum	Proteobacteria;Firmicutes
IS	ISAlw28	Order	Moraxellales
IS	ISAlw3	Class	Gammaproteobacteria;Epsilonproteobacteria;Betaproteobacteria
IS	ISAlw31	Class	Gammaproteobacteria;Betaproteobacteria
IS	ISAlw32	Order	Moraxellales
IS	ISAlw33	Order	Moraxellales
IS	ISAlw34	Order	Moraxellales;Enterobacterales
IS	ISAlw35	Phylum	Proteobacteria;Firmicutes
IS	ISAlw4	Order	Moraxellales;Enterobacterales
IS	ISAlw6	Order	Moraxellales
IS	ISAlw7	Phylum	Proteobacteria;Firmicutes
IS	ISAlw8	Phylum	Proteobacteria;Firmicutes
IS	ISAlw9	Phylum	Proteobacteria;Firmicutes
IS	ISApi1	Order	Moraxellales
IS	ISApi2	Order	Moraxellales
IS	ISApl1	Phylum	Proteobacteria;Firmicutes
IS	ISAps1	Order	Moraxellales
IS	ISApu1	Order	Aeromonadales;Enterobacterales;Pseudomonadales;Vibrionales
IS	ISApu2	Order	Aeromonadales;Enterobacterales;Pseudomonadales
IS	ISAri1	Order	Aeromonadales
IS	ISAs1	Order	Aeromonadales;Enterobacterales
IS	ISAs10	Order	Aeromonadales
IS	ISAs12	Order	Aeromonadales;Enterobacterales;Vibrionales
IS	ISAs13	Order	Aeromonadales
IS	ISAs14	Order	Aeromonadales
IS	ISAs15	Order	Aeromonadales
IS	ISAs16	Order	Aeromonadales
IS	ISAs17	Order	Aeromonadales;Enterobacterales;Pseudomonadales;Vibrionales
IS	ISAs18	Order	Aeromonadales;Enterobacterales
IS	ISAs19	Order	Aeromonadales;Enterobacterales
IS	ISAs2	Order	Moraxellales;Aeromonadales;Enterobacterales;Legionellales;Pseudomonadales;Vibrionales
IS	ISAs20	Order	Aeromonadales;Enterobacterales;Pseudomonadales;Vibrionales
IS	ISAs21	Order	Aeromonadales;Enterobacterales;Vibrionales
IS	ISAs22	Order	Aeromonadales;Enterobacterales
IS	ISAs23	Order	Aeromonadales
IS	ISAs24	Order	Aeromonadales
IS	ISAs25	Order	Aeromonadales;Enterobacterales;Vibrionales
IS	ISAs26	Order	Aeromonadales;Enterobacterales
IS	ISAs27	Order	Moraxellales;Aeromonadales;Enterobacterales
IS	ISAs28	Order	Aeromonadales;Enterobacterales
IS	ISAs29	Order	Moraxellales;Aeromonadales;Enterobacterales;Vibrionales
IS	ISAs3	Order	Aeromonadales;Enterobacterales
IS	ISAs30	Order	Aeromonadales;Enterobacterales
IS	ISAs31	Order	Aeromonadales
IS	ISAs32	Order	Aeromonadales;Enterobacterales
IS	ISAs33	Order	Aeromonadales
IS	ISAs34	Order	Aeromonadales;Enterobacterales
IS	ISAs4	Order	Aeromonadales
IS	ISAs6	Order	Aeromonadales;Enterobacterales
IS	ISAs7	Order	Aeromonadales
IS	ISAs9	Order	Aeromonadales;Enterobacterales
IS	ISAso1	Order	Moraxellales
IS	ISAso2	Order	Moraxellales
IS	ISAtsp1	Genus	Escherichia
IS	ISAtu3	Class	Alphaproteobacteria
IS	ISAtu5	Genus	Escherichia;Klebsiella
IS	ISAve1	Order	Aeromonadales
IS	ISAve2	Order	Aeromonadales
IS	ISAve3	Order	Aeromonadales;Enterobacterales
IS	ISAve4	Order	Aeromonadales;Enterobacterales
IS	ISAve5	Order	Aeromonadales;Enterobacterales
IS	ISAzo34	Genus	Citrobacter
IS	ISAzo40	Order	Enterobacterales;Pseudomonadales
IS	ISAzvi9	Class	Betaproteobacteria
